DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
1579647600000,Colorado,0,0,0
1579734000000,Colorado,0,0,0
1579820400000,Colorado,0,0,0
1579906800000,Colorado,0,0,0
1579993200000,Colorado,0,0,0
1580079600000,Colorado,0,0,0
1580166000000,Colorado,0,0,0
1580252400000,Colorado,0,0,0
1580338800000,Colorado,0,0,0
1580425200000,Colorado,0,0,0
1580511600000,Colorado,0,0,0
1580598000000,Colorado,0,0,0
1580684400000,Colorado,0,0,0
1580770800000,Colorado,0,0,0
1580857200000,Colorado,0,0,0
1580943600000,Colorado,0,0,0
1581030000000,Colorado,0,0,0
1581116400000,Colorado,0,0,0
1581202800000,Colorado,0,0,0
1581289200000,Colorado,0,0,0
1581375600000,Colorado,0,0,0
1581462000000,Colorado,0,0,0
1581548400000,Colorado,0,0,0
1581634800000,Colorado,0,0,0
1581721200000,Colorado,0,0,0
1581807600000,Colorado,0,0,0
1581894000000,Colorado,0,0,0
1581980400000,Colorado,0,0,0
1582066800000,Colorado,0,0,0
1582153200000,Colorado,0,0,0
1582239600000,Colorado,0,0,0
1582326000000,Colorado,0,0,0
1582412400000,Colorado,0,0,0
1582498800000,Colorado,0,0,0
1582585200000,Colorado,0,0,0
1582671600000,Colorado,0,0,0
1582758000000,Colorado,0,0,0
1582844400000,Colorado,0,0,0
1582930800000,Colorado,0,0,0
1583017200000,Colorado,0,0,0
1583103600000,Colorado,0,0,0
1583190000000,Colorado,0,0,0
1583276400000,Colorado,0,0,0
1583362800000,Colorado,0,0,0
1583449200000,Colorado,0,0,0
1583535600000,Colorado,0,0,0
1583622000000,Colorado,0,0,0
1583708400000,Colorado,0,0,0
1583794800000,Colorado,0,0,0
1583881200000,Colorado,0,0,0
1583967600000,Colorado,0,0,0
1584054000000,Colorado,0,0,0
1584140400000,Colorado,0,0,0
1584226800000,Colorado,1,1,1.7730119217321618
1584313200000,Colorado,1,0,0
1584399600000,Colorado,2,1,1.7730119217321618
1584486000000,Colorado,2,0,0
1584572400000,Colorado,2,0,0
1584658800000,Colorado,4,2,3.5460238434643236
1584745200000,Colorado,5,1,1.7730119217321618
1584831600000,Colorado,6,1,1.7730119217321618
1584918000000,Colorado,7,1,1.7730119217321618
1585004400000,Colorado,11,4,7.092047686928647
1585090800000,Colorado,19,8,14.184095373857295
1585177200000,Colorado,24,5,8.865059608660808
1585263600000,Colorado,31,7,12.411083452125132
1585350000000,Colorado,44,13,23.049154982518104
1585436400000,Colorado,47,3,5.319035765196485
1585519200000,Colorado,51,4,7.092047686928647
1585605600000,Colorado,69,18,31.914214591178908
1585692000000,Colorado,80,11,19.503131139053778
1585778400000,Colorado,97,17,30.14120266944675
1585864800000,Colorado,111,14,24.822166904250263
1585951200000,Colorado,126,15,26.595178825982423
1586037600000,Colorado,140,14,24.822166904250263
1586124000000,Colorado,150,10,17.730119217321615
1586210400000,Colorado,179,29,51.41734573023269
1586296800000,Colorado,193,14,24.822166904250263
1586383200000,Colorado,226,33,58.509393417161334
1586469600000,Colorado,250,24,42.55228612157188
1586556000000,Colorado,274,24,42.55228612157188
1586642400000,Colorado,290,16,28.36819074771459
1586728800000,Colorado,308,18,31.914214591178908
1586815200000,Colorado,329,21,37.2332503563754
1586901600000,Colorado,357,28,49.64433380850053
1586988000000,Colorado,373,16,28.36819074771459
1587074400000,Colorado,391,18,31.914214591178908
1587160800000,Colorado,411,20,35.46023843464323
1587247200000,Colorado,421,10,17.730119217321615
1587333600000,Colorado,448,27,47.871321886768364
1587420000000,Colorado,485,37,65.60144110408999
1587506400000,Colorado,507,22,39.006262278107556
1587592800000,Colorado,551,44,78.01252455621511
1587679200000,Colorado,672,121,214.53444252959156
1587765600000,Colorado,670,-2,-3.5460238434643236
1587852000000,Colorado,679,9,15.957107295589454
1587938400000,Colorado,706,27,47.871321886768364
1588024800000,Colorado,736,30,53.190357651964845
1588111200000,Colorado,766,30,53.190357651964845
1588197600000,Colorado,777,11,19.503131139053778
1588284000000,Colorado,820,43,76.23951263448295
1588370400000,Colorado,832,12,21.27614306078594
1588456800000,Colorado,842,10,17.730119217321615
1588543200000,Colorado,851,9,15.957107295589454
1588629600000,Colorado,903,52,92.19661993007242
1588716000000,Colorado,921,18,31.914214591178908
1588802400000,Colorado,944,23,40.77927419983972
1588888800000,Colorado,960,16,28.36819074771459
1588975200000,Colorado,967,7,12.411083452125132
1589061600000,Colorado,971,4,7.092047686928647
1589148000000,Colorado,986,15,26.595178825982423
1589234400000,Colorado,1006,20,35.46023843464323
1589320800000,Colorado,1059,53,93.96963185180456
1589407200000,Colorado,1090,31,54.96336957369701
1589493600000,Colorado,1150,60,106.38071530392969
1589580000000,Colorado,1192,42,74.4665007127508
1589666400000,Colorado,1215,23,40.77927419983972
1589752800000,Colorado,1224,9,15.957107295589454
1589839200000,Colorado,1257,33,58.509393417161334
1589925600000,Colorado,1299,42,74.4665007127508
1590012000000,Colorado,1309,10,17.730119217321615
1590098400000,Colorado,1323,14,24.822166904250263
1590184800000,Colorado,1327,4,7.092047686928647
1590271200000,Colorado,1330,3,5.319035765196485
1590357600000,Colorado,1331,1,1.7730119217321618
1590444000000,Colorado,1350,19,33.687226512911074
1590530400000,Colorado,1392,42,74.4665007127508
1590616800000,Colorado,1421,29,51.41734573023269
1590703200000,Colorado,1436,15,26.595178825982423
1590789600000,Colorado,1443,7,12.411083452125132
1590876000000,Colorado,1445,2,3.5460238434643236
1590962400000,Colorado,1458,13,23.049154982518104
1591048800000,Colorado,1474,16,28.36819074771459
1591135200000,Colorado,1494,20,35.46023843464323
1591221600000,Colorado,1512,18,31.914214591178908
1591308000000,Colorado,1524,12,21.27614306078594
1591394400000,Colorado,1527,3,5.319035765196485
1591480800000,Colorado,1527,0,0
1591567200000,Colorado,1543,16,28.36819074771459
1591653600000,Colorado,1553,10,17.730119217321615
1591740000000,Colorado,1573,20,35.46023843464323
1591826400000,Colorado,1583,10,17.730119217321615
1591912800000,Colorado,1595,12,21.27614306078594
1591999200000,Colorado,1598,3,5.319035765196485
1592085600000,Colorado,1599,1,1.7730119217321618
1592172000000,Colorado,1605,6,10.63807153039297
1592258400000,Colorado,1617,12,21.27614306078594
1592344800000,Colorado,1631,14,24.822166904250263
1592431200000,Colorado,1638,7,12.411083452125132
1592517600000,Colorado,1643,5,8.865059608660808
1592604000000,Colorado,1647,4,7.092047686928647
1592690400000,Colorado,1647,0,0
1592776800000,Colorado,1651,4,7.092047686928647
1592863200000,Colorado,1665,14,24.822166904250263
1592949600000,Colorado,1667,2,3.5460238434643236
1593036000000,Colorado,1669,2,3.5460238434643236
1593122400000,Colorado,1673,4,7.092047686928647
1593208800000,Colorado,1674,1,1.7730119217321618
1593295200000,Colorado,1676,2,3.5460238434643236
1593381600000,Colorado,1682,6,10.63807153039297
