,DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
0,1579647600000,Colorado,0,0,0.0
1,1579734000000,Colorado,0,0,0.0
2,1579820400000,Colorado,0,0,0.0
3,1579906800000,Colorado,0,0,0.0
4,1579993200000,Colorado,0,0,0.0
5,1580079600000,Colorado,0,0,0.0
6,1580166000000,Colorado,0,0,0.0
7,1580252400000,Colorado,0,0,0.0
8,1580338800000,Colorado,0,0,0.0
9,1580425200000,Colorado,0,0,0.0
10,1580511600000,Colorado,0,0,0.0
11,1580598000000,Colorado,0,0,0.0
12,1580684400000,Colorado,0,0,0.0
13,1580770800000,Colorado,0,0,0.0
14,1580857200000,Colorado,0,0,0.0
15,1580943600000,Colorado,0,0,0.0
16,1581030000000,Colorado,0,0,0.0
17,1581116400000,Colorado,0,0,0.0
18,1581202800000,Colorado,0,0,0.0
19,1581289200000,Colorado,0,0,0.0
20,1581375600000,Colorado,0,0,0.0
21,1581462000000,Colorado,0,0,0.0
22,1581548400000,Colorado,0,0,0.0
23,1581634800000,Colorado,0,0,0.0
24,1581721200000,Colorado,0,0,0.0
25,1581807600000,Colorado,0,0,0.0
26,1581894000000,Colorado,0,0,0.0
27,1581980400000,Colorado,0,0,0.0
28,1582066800000,Colorado,0,0,0.0
29,1582153200000,Colorado,0,0,0.0
30,1582239600000,Colorado,0,0,0.0
31,1582326000000,Colorado,0,0,0.0
32,1582412400000,Colorado,0,0,0.0
33,1582498800000,Colorado,0,0,0.0
34,1582585200000,Colorado,0,0,0.0
35,1582671600000,Colorado,0,0,0.0
36,1582758000000,Colorado,0,0,0.0
37,1582844400000,Colorado,0,0,0.0
38,1582930800000,Colorado,0,0,0.0
39,1583017200000,Colorado,0,0,0.0
40,1583103600000,Colorado,0,0,0.0
41,1583190000000,Colorado,0,0,0.0
42,1583276400000,Colorado,0,0,0.0
43,1583362800000,Colorado,0,0,0.0
44,1583449200000,Colorado,0,0,0.0
45,1583535600000,Colorado,0,0,0.0
46,1583622000000,Colorado,0,0,0.0
47,1583708400000,Colorado,0,0,0.0
48,1583794800000,Colorado,0,0,0.0
49,1583881200000,Colorado,0,0,0.0
50,1583967600000,Colorado,0,0,0.0
51,1584054000000,Colorado,0,0,0.0
52,1584140400000,Colorado,0,0,0.0
53,1584226800000,Colorado,1,1,1.7107088664329838e-07
54,1584313200000,Colorado,1,0,0.0
55,1584399600000,Colorado,2,1,1.7107088664329838e-07
56,1584486000000,Colorado,2,0,0.0
57,1584572400000,Colorado,2,0,0.0
58,1584658800000,Colorado,4,2,3.4214177328659677e-07
59,1584745200000,Colorado,5,1,1.7107088664329838e-07
60,1584831600000,Colorado,6,1,1.7107088664329838e-07
61,1584918000000,Colorado,7,1,1.7107088664329838e-07
62,1585004400000,Colorado,11,4,6.842835465731935e-07
63,1585090800000,Colorado,19,8,1.368567093146387e-06
64,1585177200000,Colorado,24,5,8.55354433216492e-07
65,1585263600000,Colorado,31,7,1.1974962065030886e-06
66,1585350000000,Colorado,44,13,2.223921526362879e-06
67,1585436400000,Colorado,47,3,5.132126599298952e-07
68,1585519200000,Colorado,51,4,6.842835465731935e-07
69,1585605600000,Colorado,69,18,3.079275959579371e-06
70,1585692000000,Colorado,80,11,1.8817797530762822e-06
71,1585778400000,Colorado,97,17,2.9082050729360723e-06
72,1585864800000,Colorado,111,14,2.3949924130061773e-06
73,1585951200000,Colorado,126,15,2.566063299649476e-06
74,1586037600000,Colorado,140,14,2.3949924130061773e-06
75,1586124000000,Colorado,150,10,1.710708866432984e-06
76,1586210400000,Colorado,179,29,4.961055712655653e-06
77,1586296800000,Colorado,193,14,2.3949924130061773e-06
78,1586383200000,Colorado,226,33,5.6453392592288465e-06
79,1586469600000,Colorado,250,24,4.105701279439162e-06
80,1586556000000,Colorado,274,24,4.105701279439162e-06
81,1586642400000,Colorado,290,16,2.737134186292774e-06
82,1586728800000,Colorado,308,18,3.079275959579371e-06
83,1586815200000,Colorado,329,21,3.592488619509266e-06
84,1586901600000,Colorado,357,28,4.7899848260123545e-06
85,1586988000000,Colorado,373,16,2.737134186292774e-06
86,1587074400000,Colorado,391,18,3.079275959579371e-06
87,1587160800000,Colorado,411,20,3.421417732865968e-06
88,1587247200000,Colorado,421,10,1.710708866432984e-06
89,1587333600000,Colorado,448,27,4.618913939369056e-06
90,1587420000000,Colorado,485,37,6.32962280580204e-06
91,1587506400000,Colorado,507,22,3.7635595061525643e-06
92,1587592800000,Colorado,551,44,7.527119012305129e-06
93,1587679200000,Colorado,672,121,2.0699577283839105e-05
94,1587765600000,Colorado,670,-2,-3.4214177328659677e-07
95,1587852000000,Colorado,679,9,1.5396379797896855e-06
96,1587938400000,Colorado,706,27,4.618913939369056e-06
97,1588024800000,Colorado,736,30,5.132126599298952e-06
98,1588111200000,Colorado,766,30,5.132126599298952e-06
99,1588197600000,Colorado,777,11,1.8817797530762822e-06
100,1588284000000,Colorado,820,43,7.35604812566183e-06
101,1588370400000,Colorado,832,12,2.052850639719581e-06
102,1588456800000,Colorado,842,10,1.710708866432984e-06
103,1588543200000,Colorado,851,9,1.5396379797896855e-06
104,1588629600000,Colorado,903,52,8.895686105451516e-06
105,1588716000000,Colorado,921,18,3.079275959579371e-06
106,1588802400000,Colorado,944,23,3.9346303927958625e-06
107,1588888800000,Colorado,960,16,2.737134186292774e-06
108,1588975200000,Colorado,967,7,1.1974962065030886e-06
109,1589061600000,Colorado,971,4,6.842835465731935e-07
110,1589148000000,Colorado,986,15,2.566063299649476e-06
111,1589234400000,Colorado,1006,20,3.421417732865968e-06
112,1589320800000,Colorado,1059,53,9.066756992094814e-06
113,1589407200000,Colorado,1090,31,5.30319748594225e-06
114,1589493600000,Colorado,1150,60,1.0264253198597904e-05
115,1589580000000,Colorado,1192,42,7.184977239018532e-06
116,1589666400000,Colorado,1215,23,3.9346303927958625e-06
117,1589752800000,Colorado,1224,9,1.5396379797896855e-06
118,1589839200000,Colorado,1257,33,5.6453392592288465e-06
119,1589925600000,Colorado,1299,42,7.184977239018532e-06
120,1590012000000,Colorado,1309,10,1.710708866432984e-06
121,1590098400000,Colorado,1323,14,2.3949924130061773e-06
