,submission_date,state,conf_cases,conf_death
0,2020-01-22,Colorado,0,
1,2020-01-22,Florida,0,
2,2020-01-22,Arizona,0,
3,2020-01-22,South Carolina,0,
4,2020-01-22,Connecticut,0,
5,2020-01-22,Nebraska,0,
6,2020-01-22,Kentucky,0,
7,2020-01-22,Wyoming,0,
8,2020-01-22,Iowa,0,
9,2020-01-22,New Mexico,0,
10,2020-01-22,North Dakota,0,
11,2020-01-22,Washington,0,
13,2020-01-22,Tennessee,0,
15,2020-01-22,Massachusetts,0,
16,2020-01-22,Pennsylvania,
17,2020-01-22,New York,0,
18,2020-01-22,Ohio,0,
19,2020-01-22,Alabama,0,
20,2020-01-22,Virginia,0,
21,2020-01-22,Michigan,0,
22,2020-01-22,Mississippi,0,
23,2020-01-22,Illinois,0,
24,2020-01-22,Wisconsin,0,
26,2020-01-22,North Carolina,0,
27,2020-01-22,Oklahoma,0,
28,2020-01-22,Texas,0,
29,2020-01-22,California,0,
30,2020-01-22,New Mexico,0,
31,2020-01-22,Louisiana,0,
32,2020-01-22,Idaho,0,
33,2020-01-22,Nevada,0,
34,2020-01-22,Georgia,0,
35,2020-01-22,Indiana,0,
36,2020-01-22,Maryland,0,
37,2020-01-22,New York,0,
38,2020-01-22,Arkansas,0,
39,2020-01-22,Minnesota,0,
40,2020-01-22,Oregon,0,
41,2020-01-22,Utah,0,
42,2020-01-22,West Virginia,0,
43,2020-01-22,Missouri,0,
44,2020-01-22,Delaware,0,
45,2020-01-22,South Dakota,0,
46,2020-01-22,Rhode Island,0,
47,2020-01-22,Kansas,0,
48,2020-01-22,Maine,0,
49,2020-01-22,New Hampshire,0,
50,2020-01-22,DC,0,
51,2020-01-22,Montana,0,
53,2020-01-22,Alaska,0,
55,2020-01-22,Vermont,0,
60,2020-01-23,Colorado,0,
61,2020-01-23,Florida,0,
62,2020-01-23,Arizona,0,
63,2020-01-23,South Carolina,0,
64,2020-01-23,Connecticut,0,
65,2020-01-23,Nebraska,0,
66,2020-01-23,Kentucky,0,
67,2020-01-23,Wyoming,0,
68,2020-01-23,Iowa,0,
69,2020-01-23,New Mexico,0,
70,2020-01-23,North Dakota,0,
71,2020-01-23,Washington,0,
73,2020-01-23,Tennessee,0,
75,2020-01-23,Massachusetts,0,
76,2020-01-23,Pennsylvania,
77,2020-01-23,New York,0,
78,2020-01-23,Ohio,0,
79,2020-01-23,Alabama,0,
80,2020-01-23,Virginia,0,
81,2020-01-23,Michigan,0,
82,2020-01-23,Mississippi,0,
83,2020-01-23,Illinois,0,
84,2020-01-23,Wisconsin,0,
86,2020-01-23,North Carolina,0,
87,2020-01-23,Oklahoma,0,
88,2020-01-23,Texas,0,
89,2020-01-23,California,0,
90,2020-01-23,New Mexico,0,
91,2020-01-23,Louisiana,0,
92,2020-01-23,Idaho,0,
93,2020-01-23,Nevada,0,
94,2020-01-23,Georgia,0,
95,2020-01-23,Indiana,0,
96,2020-01-23,Maryland,0,
97,2020-01-23,New York,0,
98,2020-01-23,Arkansas,0,
99,2020-01-23,Minnesota,0,
100,2020-01-23,Oregon,0,
101,2020-01-23,Utah,0,
102,2020-01-23,West Virginia,0,
103,2020-01-23,Missouri,0,
104,2020-01-23,Delaware,0,
105,2020-01-23,South Dakota,0,
106,2020-01-23,Rhode Island,0,
107,2020-01-23,Kansas,0,
108,2020-01-23,Maine,0,
109,2020-01-23,New Hampshire,0,
110,2020-01-23,DC,0,
111,2020-01-23,Montana,0,
113,2020-01-23,Alaska,0,
115,2020-01-23,Vermont,0,
120,2020-01-24,Colorado,0,
121,2020-01-24,Florida,0,
122,2020-01-24,Arizona,0,
123,2020-01-24,South Carolina,0,
124,2020-01-24,Connecticut,0,
125,2020-01-24,Nebraska,0,
126,2020-01-24,Kentucky,0,
127,2020-01-24,Wyoming,0,
128,2020-01-24,Iowa,0,
129,2020-01-24,New Mexico,0,
130,2020-01-24,North Dakota,0,
131,2020-01-24,Washington,0,
133,2020-01-24,Tennessee,0,
135,2020-01-24,Massachusetts,0,
136,2020-01-24,Pennsylvania,
137,2020-01-24,New York,0,
138,2020-01-24,Ohio,0,
139,2020-01-24,Alabama,0,
140,2020-01-24,Virginia,0,
141,2020-01-24,Michigan,0,
142,2020-01-24,Mississippi,0,
143,2020-01-24,Illinois,0,
144,2020-01-24,Wisconsin,0,
146,2020-01-24,North Carolina,0,
147,2020-01-24,Oklahoma,0,
148,2020-01-24,Texas,0,
149,2020-01-24,California,0,
150,2020-01-24,New Mexico,0,
151,2020-01-24,Louisiana,0,
152,2020-01-24,Idaho,0,
153,2020-01-24,Nevada,0,
154,2020-01-24,Georgia,0,
155,2020-01-24,Indiana,0,
156,2020-01-24,Maryland,0,
157,2020-01-24,New York,0,
158,2020-01-24,Arkansas,0,
159,2020-01-24,Minnesota,0,
160,2020-01-24,Oregon,0,
161,2020-01-24,Utah,0,
162,2020-01-24,West Virginia,0,
163,2020-01-24,Missouri,0,
164,2020-01-24,Delaware,0,
165,2020-01-24,South Dakota,0,
166,2020-01-24,Rhode Island,0,
167,2020-01-24,Kansas,0,
168,2020-01-24,Maine,0,
169,2020-01-24,New Hampshire,0,
170,2020-01-24,DC,0,
171,2020-01-24,Montana,0,
173,2020-01-24,Alaska,0,
175,2020-01-24,Vermont,0,
180,2020-01-25,Colorado,0,
181,2020-01-25,Florida,0,
182,2020-01-25,Arizona,0,
183,2020-01-25,South Carolina,0,
184,2020-01-25,Connecticut,0,
185,2020-01-25,Nebraska,0,
186,2020-01-25,Kentucky,0,
