DATE,FLIGHTCOUNT
1514761200000,12547
1514847600000,13729
1514934000000,13140
1515020400000,10478
1515106800000,12770
1515193200000,10817
1515279600000,12975
1515366000000,13172
1515452400000,12790
1515538800000,13109
1515625200000,13550
1515711600000,13258
1515798000000,10117
1515884400000,11494
1515970800000,13148
1516057200000,12007
1516143600000,12087
1516230000000,13158
1516316400000,13491
1516402800000,10172
1516489200000,12251
1516575600000,13004
1516662000000,12708
1516748400000,13101
1516834800000,13468
1516921200000,13545
1517007600000,10191
1517094000000,12428
1517180400000,13386
1517266800000,12793
1517353200000,13117
1517439600000,13454
1517526000000,13559
1517612400000,10115
1517698800000,11109
1517785200000,13377
1517871600000,12792
1517958000000,12627
1518044400000,13345
1518130800000,12739
1518217200000,10189
1518303600000,12051
1518390000000,13438
1518476400000,12864
1518562800000,12370
1518649200000,13644
1518735600000,13915
1518822000000,10590
1518908400000,12044
1518994800000,13692
1519081200000,13289
1519167600000,13583
1519254000000,13720
1519340400000,13832
1519426800000,10905
1519513200000,12966
1519599600000,13718
1519686000000,13482
1519772400000,13617
1519858800000,13723
1519945200000,11864
1520031600000,10768
1520118000000,12938
1520204400000,13845
1520290800000,13583
1520377200000,12102
1520463600000,13866
1520550000000,14284
1520636400000,11777
1520722800000,13632
1520809200000,14074
1520895600000,12866
1520982000000,13954
1521068400000,14289
1521154800000,14274
1521241200000,11816
1521327600000,13632
1521414000000,14183
1521500400000,13483
1521586800000,11258
1521673200000,13932
1521759600000,14305
1521846000000,11777
1521932400000,13623
1522015200000,14205
1522101600000,13761
1522188000000,14090
1522274400000,14269
1522360800000,14258
1522447200000,11662
1522533600000,13358
1522620000000,14024
1522706400000,13753
1522792800000,13748
1522879200000,14213
1522965600000,14124
1523052000000,11666
1523138400000,13651
1523224800000,14296
1523311200000,13859
1523397600000,14132
1523484000000,14416
1523570400000,14398
1523656800000,10939
1523743200000,13340
1523829600000,14065
1523916000000,13770
1524002400000,14025
1524088800000,14340
1524175200000,14352
1524261600000,11291
1524348000000,13643
1524434400000,14228
1524520800000,13745
1524607200000,13818
1524693600000,14360
1524780000000,14364
1524866400000,11426
1524952800000,13670
1525039200000,14320
1525125600000,13803
1525212000000,13855
1525298400000,14372
1525384800000,14385
1525471200000,11435
1525557600000,13900
1525644000000,14325
1525730400000,13956
1525816800000,14122
1525903200000,14333
1525989600000,14362
1526076000000,11271
1526162400000,13310
1526248800000,14108
1526335200000,13354
1526421600000,13945
1526508000000,14349
1526594400000,14302
1526680800000,11419
1526767200000,13744
1526853600000,14371
1526940000000,13958
1527026400000,14157
1527112800000,14457
1527199200000,14391
1527285600000,11136
1527372000000,11364
1527458400000,13546
1527544800000,14000
1527631200000,14080
1527717600000,14165
1527804000000,14196
1527890400000,11303
1527976800000,13647
1528063200000,14252
1528149600000,14026
1528236000000,14134
1528322400000,14669
1528408800000,14571
1528495200000,12065
1528581600000,13771
1528668000000,14592
1528754400000,14480
1528840800000,14554
1528927200000,14713
1529013600000,14641
1529100000000,12068
1529186400000,13940
1529272800000,14582
1529359200000,13961
1529445600000,14431
1529532000000,14660
1529618400000,14667
1529704800000,12020
1529791200000,13852
1529877600000,14663
1529964000000,14130
1530050400000,14554
1530136800000,14589
1530223200000,14675
1530309600000,12280
1530396000000,13205
1530482400000,13099
1530568800000,11984
1530655200000,11423
1530741600000,13218
1530828000000,13586
1530914400000,12262
1531000800000,14092
1531087200000,14756
1531173600000,14491
1531260000000,14609
1531346400000,14648
1531432800000,14679
1531519200000,12180
1531605600000,13717
1531692000000,14686
1531778400000,13849
1531864800000,14635
1531951200000,14757
1532037600000,14736
1532124000000,12216
1532210400000,13940
1532296800000,14221
1532383200000,14103
1532469600000,14438
1532556000000,14744
1532642400000,14058
1532728800000,12230
1532815200000,14100
1532901600000,14679
1532988000000,14534
1533074400000,14634
1533160800000,14216
1533247200000,13943
1533333600000,12024
1533420000000,14079
1533506400000,14632
1533592800000,14134
1533679200000,14152
1533765600000,14524
1533852000000,14611
1533938400000,11451
1534024800000,13699
1534111200000,13995
1534197600000,13903
1534284000000,14359
1534370400000,14472
1534456800000,14339
1534543200000,11576
1534629600000,13696
1534716000000,14416
1534802400000,13764
1534888800000,14097
1534975200000,14400
1535061600000,14338
1535148000000,11073
1535234400000,13511
1535320800000,14227
1535407200000,13672
1535493600000,14014
1535580000000,14264
1535666400000,14301
